name,neighbourhood_group,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating,bedrooms,beds,baths,nb_count,host_id_count,price-transform
Rental ,Brooklyn,Entire home/apt,30,2,158,0.34,1,333,2,No License,4.39,1.0,1,1.0,751,1,2.9213338855893958
Service,Manhattan,Entire home/apt,30,1,66,0.44,256,288,1,No License,4.39,2.0,3,1.0,786,146,3.0621915810178018
Rental ,Brooklyn,Private room,30,51,125,1.99,2,90,22,No License,4.78,1.0,1,1.0,751,2,2.852932830169813
Rental ,Brooklyn,Private room,30,5,102,0.75,2,165,5,No License,5.0,1.0,1,1.0,969,2,2.887312033330232
Rental ,Manhattan,Entire home/apt,30,7,173,0.28,1,186,3,No License,5.0,1.0,1,1.0,786,1,3.1603901346620162
Service,Brooklyn,Private room,90,2,583,0.09,589,97,0,No License,4.39,1.0,1,1.0,751,54,2.5208547922052063
Rental ,Manhattan,Private room,30,138,87,1.78,1,312,18,No License,4.78,1.0,1,1.0,375,1,2.6567249660442998
Rental ,Brooklyn,Entire home/apt,30,31,52,1.09,1,230,13,No License,4.9,3.0,6,1.0,751,1,3.126734919147089
Rental ,Brooklyn,Private room,30,1,41,0.7,6,365,1,No License,4.39,1.0,1,2.0,969,2,2.685410972215916
Rental ,Manhattan,Private room,1,5,15,1.61,7,203,5,Exempt,4.6,3.0,1,3.0,366,7,2.6170600014230736
Rental ,Brooklyn,Entire home/apt,30,3,182,0.16,1,309,1,No License,5.0,1.0,1,1.0,969,1,2.9792605776210648
Rental ,Manhattan,Private room,30,66,34,4.79,2,42,58,No License,4.86,1.0,1,1.0,1063,2,2.6170600014230736
Home in,Manhattan,Private room,1,10,16,4.92,3,87,10,Exempt,4.4,1.0,1,1.0,1063,2,2.827617620540271
Rental ,Manhattan,Private room,30,1,493,0.06,7,257,0,No License,4.39,1.0,1,1.0,375,4,2.5317360380969305
Rental ,Manhattan,Private room,30,5,419,0.32,1,365,0,No License,5.0,1.0,1,1.0,375,1,2.936957517084059
Rental ,Manhattan,Private room,30,109,24,3.74,1,365,37,No License,4.87,1.0,1,1.0,1063,1,2.840538792993868
Home in,Brooklyn,Private room,30,18,31,0.62,1,136,4,No License,4.33,1.0,1,1.5,76,1,2.3735744856006074
Boutiqu,Manhattan,Private room,30,1,766,0.04,19,179,0,No License,4.39,0.0,1,1.0,629,15,2.724259801377724
Rental ,Manhattan,Entire home/apt,1,10,3,3.16,2,233,10,Exempt,4.6,1.0,3,1.0,366,1,2.91810497216488
Rental ,Brooklyn,Private room,30,38,25,1.45,1,340,18,No License,4.76,1.0,2,1.0,1586,1,2.908196882308139
Rental ,Manhattan,Entire home/apt,30,5,75,0.22,139,364,4,No License,4.8,0.0,1,1.0,786,129,2.8687030856226254
Rental ,Manhattan,Entire home/apt,30,11,358,0.16,139,365,1,No License,4.64,0.0,1,1.0,786,129,2.887312033330232
Loft in,Brooklyn,Entire home/apt,30,10,861,0.1,1,89,0,No License,5.0,1.0,1,1.0,969,1,3.239106667783521
Condo i,Brooklyn,Entire home/apt,30,89,131,1.67,1,41,28,No License,4.94,1.0,1,1.0,969,1,3.2089551158235468
Rental ,Manhattan,Entire home/apt,30,5,537,0.26,1,364,0,No License,5.0,2.0,2,1.0,1063,1,3.186481982394027
Rental ,Manhattan,Entire home/apt,30,14,6,0.14,54,279,1,No License,4.43,1.0,1,1.0,786,30,2.9488706992255116
Rental ,Manhattan,Entire home/apt,30,1,23,1.0,68,241,1,No License,4.39,2.0,2,1.0,786,52,2.8569536918168357
Rental ,Manhattan,Entire home/apt,30,2,46,0.73,60,364,2,No License,4.39,2.0,3,2.0,375,52,3.1191154596054207
Rental ,Manhattan,Entire home/apt,30,337,21,3.34,2,281,46,No License,4.92,0.0,1,1.0,366,2,3.1805189284945667
Rental ,Manhattan,Entire home/apt,30,7,32,0.76,1,364,7,No License,5.0,3.0,3,3.0,786,1,3.526863365716115
Rental ,Manhattan,Private room,30,1,227,0.13,348,362,1,No License,4.39,1.0,1,0.0,786,14,2.8569536918168357
Rental ,Manhattan,Entire home/apt,30,10,171,1.1,2,125,10,No License,4.8,3.0,3,2.0,786,1,3.255482183571822
Rental ,Queens,Entire home/apt,30,21,257,1.59,2,364,19,No License,4.81,1.0,2,1.0,111,2,2.887312033330232
Townhou,Brooklyn,Private room,30,39,35,2.23,9,229,26,No License,4.85,1.0,1,1.0,270,9,2.6170600014230736
Rental ,Manhattan,Entire home/apt,30,5,731,0.16,139,287,0,No License,4.6,0.0,1,1.0,786,129,2.8687030856226254
Rental ,Brooklyn,Private room,30,45,62,2.05,6,258,21,No License,4.91,1.0,1,1.5,84,6,2.7643919430728485
Rental ,Manhattan,Entire home/apt,5,1,34,0.83,1,340,1,Exempt,4.39,1.0,1,1.0,136,1,3.0771818022943487
Condo i,Manhattan,Private room,30,140,122,1.03,1,180,7,No License,4.87,2.0,3,1.0,413,1,3.3752168432669807
Rental ,Manhattan,Private room,3,4,19,2.07,8,201,4,Exempt,4.0,1.0,1,1.0,328,8,2.8186899895107715
Townhou,Brooklyn,Private room,30,25,97,0.89,8,218,19,No License,4.64,1.0,1,1.0,57,5,2.6414089636582267
Rental ,Queens,Entire home/apt,30,34,229,2.14,1,365,20,No License,4.74,1.0,1,1.0,111,1,3.0660201479493367
Rental ,Manhattan,Entire home/apt,30,43,9,4.1,1,53,43,No License,4.93,1.0,1,1.0,413,1,2.8836824505315013
Rental ,Manhattan,Private room,30,1,118,0.25,11,245,1,No License,4.39,1.0,1,2.0,328,10,2.5208547922052063
Rental ,Manhattan,Entire home/apt,30,95,219,0.7,1,66,3,No License,4.71,1.0,1,1.0,413,1,2.844726755639499
Rental ,Manhattan,Private room,30,90,98,1.19,1,146,3,No License,4.87,1.0,1,1.0,629,1,2.8488576348688746
Rental ,Manhattan,Entire home/apt,3,7,18,3.44,1,311,7,OSE,4.86,1.0,1,1.0,786,1,3.024998424059092
Rental ,Manhattan,Private room,30,91,47,0.67,1,137,12,No License,4.97,1.0,1,1.0,1063,1,2.9213338855893958
Rental ,Brooklyn,Entire home/apt,30,155,70,4.92,1,180,45,No License,4.82,1.0,1,1.0,969,1,3.058306597602826
Rental ,Brooklyn,Entire home/apt,30,22,40,0.83,1,365,10,No License,4.82,2.0,2,1.0,969,1,3.311202225684783
Service,Brooklyn,Private room,90,1,614,0.05,589,0,0,No License,4.39,1.0,1,1.0,751,54,2.404985874312816
Rental ,Manhattan,Private room,30,41,144,0.38,1,158,1,No License,4.83,1.0,1,1.0,786,1,2.7534287921185427
Townhou,Staten Island,Entire home/apt,30,230,129,2.29,1,261,6,No License,4.89,0.0,3,1.0,20,1,2.8319857590280426
Home in,Brooklyn,Private room,30,3,89,0.36,4,365,3,No License,5.0,1.0,1,1.0,751,3,3.0042797123413307
Rental ,Manhattan,Private room,30,2,61,0.3,17,365,2,No License,4.39,1.0,1,1.5,1063,11,2.6253702320383843
Rental ,Manhattan,Private room,31,3,5,0.25,2,238,3,No License,5.0,1.0,1,1.0,52,2,2.804793885493015
Rental ,Brooklyn,Entire home/apt,30,109,69,2.48,2,365,25,No License,4.81,4.0,7,3.0,1586,2,3.4204557070615333
Condo i,Brooklyn,Private room,30,92,37,1.07,1,358,13,No License,4.93,1.0,1,1.0,751,1,2.9013992139001
