name,neighbourhood_group,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating,bedrooms,beds,baths,nb_count,host_id_count
casa pa,Bronx,Private room,30,7,703,0.27,1,339,0,No License,4.86,2.0,2,1.5,39,1
Rental ,Manhattan,Entire home/apt,30,305,33,2.14,2,0,28,No License,4.75,2.0,2,1.0,629,2
Rental ,Brooklyn,Private room,3,55,23,1.65,1,143,20,OSE,4.91,1.0,1,1.0,84,1
Rental ,Manhattan,Entire home/apt,30,14,16,0.15,139,365,1,No License,4.71,0.0,1,1.0,867,129
Rental ,Brooklyn,Private room,30,2,220,0.06,12,299,1,No License,4.39,1.0,1,2.0,969,7
Loft in,Brooklyn,Entire home/apt,30,80,70,1.57,2,270,30,No License,4.43,2.0,4,1.0,1586,2
Home in,Brooklyn,Private room,4,53,4,3.28,1,0,44,OSE,4.85,1.0,1,1.0,135,1
Rental ,Brooklyn,Entire home/apt,30,114,46,2.18,1,179,28,No License,4.87,3.0,6,2.0,751,1
Rental ,Manhattan,Entire home/apt,30,29,108,0.82,1,96,11,No License,4.97,2.0,2,1.0,629,1
Rental ,Manhattan,Entire home/apt,30,47,77,1.39,1,178,13,No License,4.91,3.0,4,2.5,413,1
Townhou,Brooklyn,Private room,30,180,294,1.73,1,339,5,No License,4.76,1.0,1,1.0,160,1
Rental ,Brooklyn,Private room,30,23,102,1.27,2,365,11,No License,4.48,1.0,1,1.0,173,2
Rental ,Brooklyn,Entire home/apt,30,1,558,0.05,2,363,0,No License,4.39,2.0,2,1.0,401,1
Rental ,Brooklyn,Private room,30,18,495,0.18,6,0,0,No License,4.61,1.0,1,1.0,246,3
Rental ,Brooklyn,Private room,30,1,4,1.0,8,96,1,No License,4.39,3.0,1,2.0,1586,6
Home in,Brooklyn,Entire home/apt,30,86,1461,0.83,1,362,0,No License,4.76,3.0,3,1.0,1586,1
Rental ,Queens,Entire home/apt,30,28,110,1.62,1,345,14,No License,4.79,2.0,2,1.0,91,1
Townhou,Manhattan,Private room,31,96,29,2.58,6,365,31,No License,4.93,1.0,1,1.0,207,5
Rental ,Queens,Entire home/apt,30,72,60,5.35,6,365,68,No License,4.72,3.0,4,1.0,361,5
Service,Queens,Private room,30,4,1829,0.06,2,180,0,No License,4.75,0.0,1,1.0,136,2
Rental ,Queens,Entire home/apt,30,14,72,1.38,4,365,14,No License,4.5,1.0,2,1.0,170,4
Rental ,Manhattan,Entire home/apt,30,1,1681,0.02,133,310,0,No License,4.39,0.0,1,1.0,786,113
Rental ,Brooklyn,Entire home/apt,30,139,97,2.34,1,156,4,No License,4.82,2.0,2,1.0,969,1
Rental ,Queens,Entire home/apt,30,15,139,0.15,1,26,6,No License,4.53,3.0,3,2.0,163,1
Home in,Brooklyn,Entire home/apt,30,7,172,0.64,2,365,7,No License,4.71,4.0,6,2.0,5,2
Rental ,Manhattan,Entire home/apt,30,14,66,0.2,139,291,1,No License,4.57,0.0,1,1.0,867,129
Home in,Manhattan,Entire home/apt,30,95,37,1.89,1,310,51,No License,4.8,2.0,3,1.0,1063,1
Hotel i,Manhattan,Private room,1,8,740,0.25,6,363,0,Exempt,4.88,1.0,1,1.0,867,6
Home in,Bronx,Private room,30,19,77,2.33,1,261,19,No License,4.95,1.0,2,1.0,56,1
Townhou,Brooklyn,Entire home/apt,30,59,79,3.03,1,364,33,No License,4.98,1.0,2,1.0,664,1
Rental ,Brooklyn,Private room,30,1,615,0.05,5,365,0,No License,4.39,1.0,1,2.0,751,4
Rental ,Manhattan,Private room,30,143,61,4.7,2,1,44,No License,4.8,1.0,1,1.0,1063,2
Rental ,Manhattan,Entire home/apt,30,29,60,1.82,2,0,24,No License,4.93,0.0,1,1.0,629,1
Rental ,Manhattan,Entire home/apt,30,32,49,2.29,5,261,28,No License,4.94,1.0,1,1.0,786,4
Rental ,Queens,Private room,1,138,2,4.03,8,17,45,Exempt,4.59,1.0,1,1.0,163,7
Home in,Bronx,Private room,30,40,1433,0.7,2,0,0,No License,4.5,1.0,1,1.0,20,2
Rental ,Brooklyn,Entire home/apt,30,6,277,0.2,1,0,1,No License,4.83,1.0,1,1.0,178,1
Rental ,Brooklyn,Private room,60,4,1046,0.08,2,0,0,No License,4.75,1.0,1,1.5,751,2
Rental ,Brooklyn,Private room,30,24,141,0.27,1,172,2,No License,4.88,1.0,1,1.0,1586,1
Rental ,Brooklyn,Entire home/apt,30,71,131,2.53,1,265,18,No License,4.89,2.0,2,1.0,751,1
Hotel i,Brooklyn,Private room,1,17,221,0.64,3,364,1,Exempt,4.24,1.0,2,1.0,173,2
Rental ,Manhattan,Private room,30,10,109,0.35,2,179,3,No License,5.0,1.0,1,1.0,413,2
Rental ,Brooklyn,Private room,30,11,9,2.92,1,33,11,No License,4.91,1.0,1,1.0,969,1
Rental ,Manhattan,Entire home/apt,30,1,2018,0.01,6,86,0,No License,4.39,1.0,1,1.0,942,4
Rental ,Manhattan,Private room,30,2,219,0.24,7,252,2,No License,4.39,1.0,1,1.0,413,7
Home in,Brooklyn,Private room,30,57,1862,0.57,1,365,0,No License,4.7,1.0,1,1.0,1586,1
Rental ,Manhattan,Entire home/apt,30,55,948,0.47,1,242,0,No License,4.8,2.0,3,1.0,629,1
Home in,Bronx,Entire home/apt,30,35,97,1.7,2,331,12,No License,4.69,1.0,1,1.0,55,2
Rental ,Manhattan,Private room,30,23,62,2.95,1,90,23,No License,4.83,1.0,1,1.0,1063,1
Resort ,Manhattan,Private room,3,2,4,0.16,1,0,1,Exempt,4.39,1.0,1,1.0,942,1
Rental ,Manhattan,Entire home/apt,5,5,16,2.05,1,333,5,Exempt,4.8,1.0,3,1.0,629,1
Hotel i,Manhattan,Private room,1,11,102,0.39,8,289,4,Exempt,4.64,1.0,1,1.0,71,4
Home in,Brooklyn,Private room,30,4,57,0.43,12,311,4,No License,3.0,1.0,1,1.0,95,12
Rental ,Manhattan,Entire home/apt,30,4,70,0.17,30,177,3,No License,5.0,0.0,1,1.0,138,29
Rental ,Manhattan,Entire home/apt,30,338,26,3.38,1,194,23,No License,4.97,1.0,3,1.0,1063,1
Home in,Queens,Private room,30,5,31,0.8,2,143,5,No License,4.6,1.0,2,0.0,14,1
Rental ,Brooklyn,Private room,30,19,26,0.72,4,55,8,No License,4.68,1.0,1,1.5,969,3
Rental ,Manhattan,Entire home/apt,30,7,20,0.32,37,276,5,No License,5.0,2.0,2,1.0,786,37
Rental ,Brooklyn,Entire home/apt,30,1,529,0.06,1,364,0,No License,4.39,2.0,2,1.5,178,1
Townhou,Brooklyn,Private room,30,1,730,0.04,3,365,0,No License,4.39,3.0,3,1.0,270,3
Rental ,Manhattan,Entire home/apt,30,156,40,4.69,4,0,47,No License,4.94,2.0,2,2.0,158,4
Rental ,Manhattan,Entire home/apt,2,4,3,1.52,1,361,4,Exempt,5.0,6.0,6,2.0,366,1
Condo i,Queens,Private room,5,5,19,0.1,2,179,1,Exempt,5.0,1.0,2,1.5,253,2
Rental ,Brooklyn,Entire home/apt,30,17,89,0.28,2,0,4,No License,4.76,2.0,1,1.0,969,2
Condo i,Manhattan,Entire home/apt,30,9,3000,0.08,10,364,0,No License,4.89,2.0,3,2.0,629,10
Rental ,Brooklyn,Private room,30,1,189,0.16,2,365,1,No License,4.39,1.0,1,1.0,751,2
Condo i,Manhattan,Entire home/apt,30,60,32,3.59,2,181,37,No License,4.92,1.0,2,1.0,140,2
Townhou,Brooklyn,Private room,30,124,211,2.32,2,27,10,No License,4.57,1.0,1,1.0,1586,2
Rental ,Manhattan,Private room,30,9,201,0.78,2,351,9,No License,4.11,1.0,1,1.0,1063,1
Home in,Bronx,Entire home/apt,3,8,40,1.86,1,0,8,OSE,5.0,2.0,3,1.0,28,1
Townhou,Queens,Private room,30,2,986,0.04,236,60,0,No License,4.39,1.0,1,1.0,170,62
Home in,Queens,Private room,60,1,576,0.05,3,250,0,No License,4.39,1.0,1,1.0,70,3
Hotel i,Manhattan,Private room,1,4,47,1.06,13,343,4,Exempt,5.0,1.0,1,1.0,366,7
Place t,Manhattan,Entire home/apt,30,3,418,0.05,83,364,0,No License,5.0,2.0,3,2.0,207,69
Loft in,Brooklyn,Entire home/apt,31,2,137,0.37,1,320,2,No License,4.39,1.0,1,1.0,51,1
Home in,Queens,Private room,30,11,179,0.24,2,0,4,No License,4.82,1.0,1,1.0,241,2
Home in,Queens,Private room,30,150,29,4.26,1,101,46,No License,4.42,1.0,1,1.0,136,1
Rental ,Manhattan,Entire home/apt,30,3,239,0.18,4,55,2,No License,5.0,2.0,3,2.0,25,3
Boutiqu,Manhattan,Private room,2,11,129,0.48,84,108,7,Exempt,5.0,0.0,2,1.0,71,75
Rental ,Queens,Private room,30,56,41,2.02,1,0,25,No License,4.79,1.0,1,1.0,26,1
Rental ,Manhattan,Entire home/apt,30,37,124,0.24,1,2,1,No License,4.81,1.0,1,1.0,413,1
Rental ,Manhattan,Entire home/apt,30,7,115,0.32,5,94,2,No License,5.0,3.0,3,2.0,207,5
Rental ,Bronx,Private room,30,5,2393,0.05,1,365,0,No License,4.4,1.0,1,1.0,28,1
Rental ,Brooklyn,Private room,100,127,2066,1.23,1,358,0,No License,4.8,1.0,1,1.0,301,1
Rental ,Queens,Private room,30,22,368,1.21,1,179,0,No License,4.09,1.0,1,1.0,241,1
Rental ,Manhattan,Private room,30,21,230,0.21,1,216,3,No License,4.95,1.0,1,1.0,1063,1
Rental ,Manhattan,Private room,30,153,131,2.61,5,359,18,No License,4.85,1.0,1,1.5,1063,5
Rental ,Manhattan,Entire home/apt,30,5,805,0.09,2,177,0,No License,4.8,1.0,1,1.0,84,1
Rental ,Bronx,Entire home/apt,30,66,10,3.87,5,365,40,No License,4.83,1.0,1,1.0,12,5
Home in,Brooklyn,Private room,30,243,46,3.37,1,160,40,No License,4.75,1.0,1,1.0,57,1
Rental ,Manhattan,Entire home/apt,30,5,275,0.06,33,180,1,No License,3.8,2.0,3,1.0,207,24
Condo i,Brooklyn,Private room,30,15,150,0.53,1,88,6,No License,4.93,1.0,1,1.0,664,1
Rental ,Brooklyn,Private room,30,27,60,0.22,1,208,3,No License,4.81,1.0,1,1.0,751,1
Condo i,Manhattan,Private room,30,211,31,2.41,1,91,32,No License,4.84,1.0,2,1.0,413,1
Rental ,Manhattan,Private room,30,34,97,1.53,1,270,14,No License,4.71,1.0,2,1.0,1063,1
Home in,Brooklyn,Entire home/apt,30,22,61,3.77,1,365,22,No License,4.55,2.0,2,1.0,76,1
Condo i,Manhattan,Entire home/apt,30,20,1263,0.38,1,0,0,No License,4.35,3.0,4,2.0,629,1
Rental ,Brooklyn,Entire home/apt,30,1,596,0.05,1,365,0,No License,4.39,1.0,1,1.0,246,1
Loft in,Brooklyn,Entire home/apt,30,1,1917,0.02,1,0,0,No License,4.39,1.0,1,1.0,1586,1
Townhou,Bronx,Private room,30,461,81,4.74,3,180,47,No License,4.76,1.0,1,1.0,32,2
Rental ,Brooklyn,Entire home/apt,3,12,424,0.12,14,95,0,Exempt,4.67,0.0,2,1.0,301,14
Rental ,Brooklyn,Entire home/apt,30,66,103,3.33,3,167,28,No License,4.76,1.0,4,2.0,54,3
Loft in,Manhattan,Entire home/apt,30,141,30,1.24,1,362,18,No License,4.95,2.0,2,2.0,71,1
Rental ,Manhattan,Private room,30,647,34,5.5,1,316,62,No License,4.75,1.0,2,1.0,140,1
Rental ,Manhattan,Private room,3,115,25,3.85,21,0,43,Exempt,4.59,1.0,2,1.0,366,16
Home in,Staten Island,Private room,30,83,79,4.09,5,171,38,No License,4.98,1.0,1,1.0,35,3
Rental ,Brooklyn,Private room,30,40,110,0.35,2,30,3,No License,4.88,1.0,1,1.0,1586,2
